,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
0,Alabama,US,2020-04-17 23:30:52,32.3182,-86.9023,4571,148,,4423.0,1.0,97.48561335427073,37848.0,594.0,3.2378035440822583,84000001,USA,807.1834378106407,12.994968278276088
1,Alaska,US,2020-04-17 23:30:52,61.3707,-152.4044,309,9,128.0,300.0,2.0,51.69393842566028,9450.0,36.0,2.9126213592233015,84000002,USA,1580.9311266099985,11.650485436893206
2,American Samoa,US,,-14.271,-170.132,0,0,,,60.0,0.0,3.0,,,16,ASM,5.3917075537822825,
3,Arizona,US,2020-04-17 23:30:52,33.7298,-111.4312,4511,169,539.0,4342.0,4.0,61.975207993386746,49230.0,566.0,3.746397694524496,84000004,USA,676.3554620958612,12.547107071602747
4,Arkansas,US,2020-04-17 23:30:52,34.9697,-92.3731,1695,37,593.0,1658.0,5.0,65.46861040846619,23494.0,83.0,2.1828908554572277,84000005,USA,907.445152174929,4.896755162241887
5,California,US,2020-04-17 23:30:52,36.1162,-119.6816,29157,1037,,28120.0,6.0,74.36374960404116,258800.0,4892.0,3.5566073327159864,84000006,USA,660.0589360196814,16.778132180951406
6,Colorado,US,2020-04-17 23:30:52,39.0598,-105.3111,8691,372,,8319.0,8.0,153.3666277676712,41830.0,1693.0,4.280289955125991,84000008,USA,738.1574087586798,19.479921758140605
7,Connecticut,US,2020-04-17 23:30:52,41.5978,-72.7554,16809,1036,,15773.0,9.0,471.46274619687006,55462.0,1946.0,6.163364864060919,84000009,USA,1555.6110910566247,11.577131298709025
8,Delaware,US,2020-04-17 23:30:52,39.3185,-75.5071,2317,61,378.0,2256.0,10.0,237.94266372550229,13350.0,209.0,2.6327147173068624,84000010,USA,1370.9687357511675,9.02028485110056
9,Diamond Princess,US,2020-04-17 23:30:52,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
10,District of Columbia,US,2020-04-17 23:30:52,38.8974,-77.0268,2476,86,573.0,2390.0,11.0,350.832944857166,12643.0,313.0,3.4733441033925687,84000011,USA,1791.4300976692844,12.64135702746365
11,Florida,US,2020-04-17 23:30:52,27.7663,-81.6868,24759,725,,24034.0,12.0,116.60838994516264,234837.0,3665.0,2.9282281190678137,84000012,USA,1106.020617535125,14.802698008804882
12,Georgia,US,2020-04-17 23:30:52,33.0406,-83.6431,17194,650,,16544.0,13.0,169.57622611136586,71684.0,3324.0,3.780388507618937,84000013,USA,706.9851222849336,19.332325229731303
13,Grand Princess,US,2020-04-17 23:30:52,,,103,0,0.0,103.0,99999.0,,,,0.0,84099999,USA,,
14,Guam,US,2020-04-17 23:30:52,13.4443,144.7937,136,5,97.0,131.0,66.0,82.81119656089972,1076.0,6.0,3.6764705882352944,316,GUM,655.1827022024123,4.411764705882354
15,Hawaii,US,2020-04-17 23:30:52,21.0943,-157.4983,541,9,374.0,532.0,15.0,38.21198966510475,21857.0,45.0,1.6635859519408502,84000015,USA,1543.8067617563672,8.317929759704251
16,Idaho,US,2020-04-17 23:30:52,44.2405,-114.4788,1609,41,390.0,1568.0,16.0,99.90704732762622,16183.0,148.0,2.54816656308266,84000016,USA,1004.845088193272,9.198259788688627
17,Illinois,US,2020-04-17 23:30:52,40.3495,-88.9861,27578,1132,,26446.0,17.0,234.99331481597144,130163.0,4454.0,4.104721154543476,84000017,USA,1109.1244773511964,16.15055479005004
18,Indiana,US,2020-04-17 23:30:52,39.8494,-86.2583,10154,522,,9632.0,18.0,155.16517894117874,54785.0,,5.14083119952728,84000018,USA,837.1798629399723,
19,Iowa,US,2020-04-17 23:30:52,42.0115,-93.2105,2332,64,1007.0,2268.0,19.0,88.98341787139607,21792.0,183.0,2.74442538593482,84000019,USA,831.5294349285863,7.847341337907376
20,Kansas,US,2020-04-17 23:30:52,38.5266,-96.7265,1730,82,,1648.0,20.0,70.94560235687031,16901.0,375.0,4.739884393063584,84000020,USA,693.0934251060492,21.676300578034677
21,Kentucky,US,2020-04-17 23:30:52,37.6681,-84.6701,2522,137,956.0,2385.0,21.0,73.67153886173675,29747.0,971.0,5.4321966693100725,84000021,USA,868.9560929897236,38.501189532117365
22,Louisiana,US,2020-04-17 23:30:52,31.1695,-91.8678,23118,1213,,21905.0,22.0,502.86409357213614,131987.0,1868.0,5.24699368457479,84000022,USA,2870.9889747515153,8.08028376157107
23,Maine,US,2020-04-17 23:30:52,44.6939,-69.3819,827,29,352.0,798.0,23.0,70.44257014018667,14903.0,133.0,3.5066505441354288,84000023,USA,1269.4142960087086,16.08222490931076
24,Maryland,US,2020-04-17 23:30:52,39.0639,-76.8021,11572,334,736.0,11238.0,24.0,194.70549783917613,62009.0,2612.0,2.886277220877981,84000024,USA,1043.3367797709536,22.571724853093677
25,Massachusetts,US,2020-04-17 23:30:52,42.2302,-71.5301,34402,1245,,33157.0,25.0,501.21128732131547,148744.0,3729.0,3.618975640951108,84000025,USA,2167.0883007186135,10.839486076390907
26,Michigan,US,2020-04-17 23:30:52,43.3266,-84.5361,30023,2227,629.0,27796.0,26.0,376.8297227440453,98959.0,3674.0,7.4176464710388705,84000026,USA,1242.0708301311654,12.23728474835959
